"cityName","hospitalName","hospitalAddress"
"Chennai","NOBLE HOSPITAL","4, AUDIAPPA STREET,PURASAWALKAM,CHENNAI-84"
"Chennai","SOUNDARAPANDIAN BONE AND  JOINT HOSPITAL AND  RESEARCH INSTITUTE PVT. LTD","AA-16, 3RD MAINROAD, ANNANAGAR,CHENNAI-40"
"Chennai","DR.AGARWALS EYE HOSPITAL LTD. PERAMBUR","B-63, SIVA ELANGOSALAI, 70 FEET ROADPERIYAR NAGAR,CHENNAI-82"
"Chennai","Radhatri Nethralaya","No 12 Hindi Pracharasabha Street ,TnagarChennai17"
"Chennai","DR.AGARWALS EYE HOSPITAL LTD. ALWARPET","No. 222, TTK Road,Alwarpet, Chennai-18"
"Chennai","Jyothi Eye CareCentre","No 152&154 CalveSubraya Chetty Street,Puducherry-605001"
"Chennai","K.K.R. ENT HOSPITAL AND RESEARCH INSTITUTE","827, POONAMALLEEHIGH ROAD, KILPAUK,CHENNAI-10"
"Chennai","DR AGARWAL ANNA NAGAR","NO 31 F BLOCK ANNA NAGAR WEST"
"Chennai","TRINITY ACUTE CARE HOSPITAL","NO.33, DESIKAN ROAD,MYLAPORE, CHENNAI-4"
"Chennai","BILLROTH HOSPITALS","43, LAKSHMI TALKIESROAD,SHENOY NAGAR, CH   30"
"Chennai","Aravind Eye Hospital","Cuddalore Main RoadThavalakuppam,Puducherry -605007"
"Chennai","UMA EYE CLINIC","182 PLOT No.995,  O BLOCK, 2nd AVENUE,ANNANAGAR, CHENNAI  600 040"
"Chennai","DR.AGARWALS HEALTH CARE LTD. - PONDI","N.S.J. Avenue, No. 601,Kamaraj Salai, NearRajiv Gandhi Square,Pondicherry-605 005."
"Chennai","Dr.Guptss Dental Specialities Centre","A2, MARUTHIAPARTMENTS, NO.82,ALAGAPPA ROAD,PURASAWALKAM, CH-84044-26481935"
"Chennai","D.R.R. Eye Care and Oculoplasty Hospital","No399 Trunk RoadKarayanchavadi,Poonamallee . Chennai  56"
"Chennai","Dr. Rimo Mulitspecialty Dental Clinic","No 229 CTH RoadOpposite to ImmaculateGirls High School Avadi(Check Post) Chennai -54 .Phone   49509100-9003209030"
"Chennai","DR.AGARWALS EYE HOSPITAL LTD. PORUR","No. 118, Arcot Road,Porur, Chennai-116"
"Chennai","UDHI EYE HOSPITALS","9,MURRAYS GATEROAD, ALWARPET,CHENNAI-18"
"Chennai","DR.AGARWALS EYE HOSPITAL LTD.TAMBARAM","TDK TOWER,6, DURAISWAMY REDDYSTREET, WESTTAMBARAM, CHENNAI45"
"Chennai","Nirmal's Eye Hospital","No. 108, AyyasamyStreet, West Tambaram,Chennai-45."
"Dehradun","Aarogyadham Super Speciality Hospital & Research Centre ","6 New Road Dehradun"
"Dehradun","Kanishk Surgical & Super Speciality Hospital","Haridwar Bypass, Near Railway Crossing, Dehradun"
"Dehradun","Navjyoti Eye Hospital.","C-8, Shiva Complex, Nehru Colony Dehradun. "
"Dehradun","Kailash HospitalDehradun (A unit of M/SKailash Healthcare Ltd.)","Main Haridwar Road, NearJogiwala Chowk Dehradun"
"Dehradun","Drishti Eye Institute (Unit of Luthra Hospitals Pvt. Ltd.)","58, Chakrata Road, Dehradun"
"Dehradun","The Eye Clinic.","3-A, Chakrata Road, Near Doon Paramedical College Dehradun. "
"Dehradun","Fortis Escorts Hospital","2nd Floor, (Coronation Hospital), Curzon Road, Dalanwala Dehradun. "
"Dehradun","Himalayan Hospital (A unit of Swami Rama Himalayan University)","Swami Rama Nagar, Doiwala, Dehradun"
"Dehradun","Shri Mahant Indiresh Hospital","Patel Nagar Dehradun"
"Dehradun","Subharti Hospital","Shubharti Puram, Kotda Santaur, Aamwala Road, P.O Chandanwadi, Nanda Ki Chowki Prem Nagar Dehradun"
"Dehradun","S K Memorial","12, E.C Road Dehradun"
"Dehradun","Ramrati Eye Hospital","34/2, Special Wing, Near Kendriya Vidyalaya Road (IMA)Prem Nagar Dehradun"
"Dehradun","Krishna Medical Center (A Multi Speciality Hospital)","22- Inder Road Dehradun"
"Dehradun","Rastogi Dental Clinic","Chanakaya Tower, Shop No.4, Dilaram Bazar Rajpur Road Dehradun"
"Dehradun","Max Super Speciality Hospital (A Unit of Max Health Care Institute Ltd.)","Malsi, Mussoorie Diversion Road, Dehradun. "
"Dehradun","Bharat Heart Institute Institute","55-E.C Road Dehrdaun"
"Dehradun","Amritsar Eye Clinic & Lasik Laser Centre.","122/1, E.C Road Dehradun"
"Delhi and NCR","Vision Eye Centre","19, Siri Fort Road, New Delhi- 110049."
"Delhi and NCR","Dr. B.L. Kapur Memorial Hospital","5 Pusa Road, New Delhi-110005.Tel.No. 011-3040 3040."
"Delhi and NCR","Sehgal dental Clinic","CA-115/1, Opp. Shopping Centre, Tagore Garden, New Delhi-110027"
"Delhi and NCR","Bhagwati Hospital","(Near Popular Apartment & Mother Dairy Booth) Sector-13, Rohini, Delhi-110085"
"Delhi and NCR"," Escorts Heart Institute & Research Centre","Okhla Road, New Delhi   110025. "
"Delhi and NCR","Fortis Healthcare Ltd.","A-Block, ShalimarBagh, New Delhi"
"Delhi and NCR","Fortis Hospitals Ltd.Faridabad","Neelam BataRoad, Faridabad"
"Delhi and NCR","Delhi Heart and Lung Institute ","3 MM II, Panchkuian Road, New Delhi 110055"
"Delhi and NCR","Max Super specialty Hospital (a unit of Crosslay Remedies Ltd.) ","W-3, Sector-1, Vaishali, Ghaziabad. "
"Delhi and NCR","Bhardwaj Hospital Sector 29 NOIDA","Bhardwaj Hospital,NH-1,Sector-29, NOIDA"
"Delhi and NCR","32 Smile Stone Dental Clinic","3 Ring Road, Kilokari, New Delhi."
"Delhi and NCR","Fortis Hospitals Ltd.","B-22, Sector-62, Noida  201301. "
"Delhi and NCR","Delhi Institute of Functional Imaging  (DIFI) ","14 Kaushalya Park, Hauz Khas, New Delhi. "
"Delhi and NCR","MGS Super Specialty Hospita","35/37, Rohtak Road,West Punjabi Bagh,New Delhi"
"Delhi and NCR","Neera Eye Centre & Laser Vision","B-99, Shyam Lal Road, Opp.Hindi Park, Darya Ganj New Delhi-110002"
"Delhi and NCR","Chopra eye Hospital","House No.3, Block-C, Pocket-8, Sector-7, Rohini, New Delhi-110085"
"Delhi and NCR","Jain Hospital ","177-178, Jagriti Enclave, Vikas Marg Extn. Delhi. Tel. No. 011-43055355, 9873788091."
"Delhi and NCR","Pragati Eye Centre","H-15, Krishna Nagar, Delhi"
"Delhi and NCR","Tirupati Eye centre","C-8, Sec-19, Noida-201303"
"Delhi and NCR","Kailash Eye Care ","50-51, South Patel Nagar (Near Metro Pillar No.190), New Delhi"
"Delhi and NCR","S.R. Advance Dental Clinic ","H.No.30, Pocket D-8, Sector06, Rohini, New Delhi-110085.Tel. No. 9811911569"
"Delhi and NCR","Dr. Paria Dental Clinic","K-367, Gali No.08, RishiNagar, Rani Bagh, Delhi -110034. Tel. No. 8882820644"
"Delhi and NCR","Family Health Care Hospital ","15 HC-1, VasundharaEnclave, Ghaziabad. "
"Delhi and NCR","Advanced Dental Care","Shop no. 31, Rati Ram Park,Naya Bazar, Near HDFC Bank,Tura Mandi, New Delhi-110043"
"Delhi and NCR","Life Line Dental Care ","C-4, Anand Vihar, Delhi110092. Tel. No.011-42427475"
"Delhi and NCR","Centre For Smile (Dental Clinic & Implant Centre) ","61-D, Opp. Old JNU, BehindDDA Market, Ber Sarai, NewDelhi-110016. "
"Delhi and NCR","Bajaj Eye Care Centre","101, Vikas Surya Plaza, Pt. No. 7, DDA Community Centre, Rd No. 44, Pitampura, New Delhi"
"Delhi and NCR","Medanta The Medicity, Gurgaon","Medanta The Medicity,Sector-38 Gurgaon"
"Delhi and NCR","Moolchand Hospital","Lajpat Nagar, III, NewDelhi."
"Delhi and NCR","Dental Quest ","Flat No. 1A, DDA Flats, Sector6, Pocket-2, Dwarka, NewDelhi-110075. "
"Delhi and NCR","Sharp Sight Centre (East) ","81, Defence Enclave, Vikas Marg, Delhi-110092. Tel. No. 011-22461134/35/36, 9999405599."
"Delhi and NCR","Yashoda Super Specialty Hospital","Kaushambi, Ghaziabad."
"Delhi and NCR","Jaypee Hospital","Sector-128, Noida-201304"
"Delhi and NCR","Apollo Hospital","E-2, Sector-26, Noida-201301."
"Delhi and NCR","Anant Jyoti Eye Hospital ","43-A, Jagriti Enclave, NearKarkardooma Metro Station,Delhi-92. "
"Delhi and NCR","Bahl Dental Clinic & Implant Centre","21/39-B, 1st Floor, Tilak Nagar,New Delhi-110018. "
"Delhi and NCR","S.L. Dental ","C2C-234A, Pocket-2,Janakpuri, New Delhi-110058. "
"Delhi and NCR","Shivam Diagnostics & Cancer Research Inst. ","C-41, Lane-4, Mahendru Enclave, Near Hans Cinema, Delhi. "
"Delhi and NCR","Gupta's Dental Clinic and Implant Centre","B-27, East Jyoti Nagar,Durgapuri Chowk, Near HDFCBank, Shahdara, Delhi110093. "
"Delhi and NCR","S.R. Dental Implants & Braces Centre","PU-103, Opp. St. StephensSchool, Pitampura, Delhi110034"
"Delhi and NCR","Prayag Hospital, Noida","Prayag Hospital & Research Centre, J-206/A-1, Sector-41,Noida"
"Delhi and NCR","Leela Dental Clinic","B-39, Main Road, Majlis Park, Delhi. "
"Delhi and NCR","Chaudhary Eye Centre & Laser Vision","4802/24, BharatRam Road, Daryaganj, New Delhi-110002"
"Delhi and NCR","Eye Care Centre","F-182, Dilshad Colony, Delhi-110095"
"Delhi and NCR","Perfect Teeth Dental Clinic","Shop No. 17, City Plaza, B-Block Market, Sec-62, Noida"
"Delhi and NCR","Garg Hospital ( A Unit of Garg Heart Centre & Nursing Home","8-9, A.G.C.R. Enclave, (Opp. Karkardooma Court), Delhi-110092"
"Delhi and NCR","Suraksha Eye Surgery Centre","B-15, Ground Floor, RanaPratap Bagh, Delhi-110007."
"Delhi and NCR","Bhagat Chandra Hospital","F1/1, Mahavir Enclave, Near Palam, Dwarka Flyover, Delhi"
"Delhi and NCR","Yatharth Wellness Super Speciality Hospital & Heart Centre","NH-I, Sector-110, Noida. "
"Delhi and NCR","Navin Hospital (A unit of Navin Meditech Pvt. Ltd.)","NH-1, Sector-3, Near Jain Mandir, Vaishali, Ghaziabad. Tel. No. 0120-6517172173."
"Delhi and NCR","Aarogya Hospital (A unit of Kastura Medicos Ltd)","Plot No. NH-1, Sector-VI, Vaishali, Ghaziabad"
"Delhi and NCR","Dr. Suresh Garg Eye & Laser Center","A-4/35, Main Road, Pashchim Vihar, New Delhi-63"
"Delhi and NCR","Kamal hospital","KA-Block, Kaushambi, Near Telephone Exchange/ Metro Station Kaushambi, Ghaziabad"
"Delhi and NCR","Chandra Laxmi Hospital","Sec-4, Plot No. 337,Vaishali,Ghaziabad   201010."
"Delhi and NCR","Apex Citi Hospital","Hanuman Road, DBlockWest VinodNagar, Near P.N.B,Delhi-91."
"Delhi and NCR","Muskan Dentals","C-1039, Near Vyapar Kendra, Sushant Lok-1, Gurgaon. "
"Delhi and NCR","Stars Dental Clinic ","A-14, D.K. Road, MohanGarden, Uttam Nagar, NewDelhi-110059."
"Delhi and NCR","Delhi 32 Dental Centre ","1/2320, Mandoli Road, RamNagar, Shahdara, Delhi 110032"
"Delhi and NCR","Facio Dental Super Speciality Clinic","158/B-III/9, Near CanaraBank, Adjacent AmbienceTower, Vasant Kunj, NewDelhi-110070. Tel. No. 011-41802400"
"Delhi and NCR","Kapil Dental Clinic & Implant Center ","A-1/681, Sector-6, Rohini, Delhi110085. Tel. No. 9811733823 "
"Delhi and NCR","Nidaan Hospital","Murthal Road, Sonipat-131001. Tel. No. 0130-2483000."
"Delhi and NCR","Leela Dental Clinic ","9, Hakikat Nagar, Gate No.1,GTB Nagar, Kingsway Camp,Delhi-110009. Tel. No. 011-27658182. "
"Delhi and NCR","Oral Care Dental Health & Orthodontic Centre ","63/2, Old Rajinder Nagar, NearKarol Bagh Metro Station, GateNo.7, New Delhi-110060. Tel.No. 9711172259. "
"Delhi and NCR","Gupta Multispeciality Dental clinic","QU-132 B, Pitampura, NewDelhi-110034. "
"Delhi and NCR","Sai Dental and Implant Clinic ","130, Mohammadpur, R.K.Puram, Behind Bhikaji CamaPlace, New Delhi-110066. Tel.No. 9811119334 "
"Delhi and NCR","Divyaprasha Hospital","RZ-37, Palam Colony, Main Road, Opp. Bagh Wala School, Near Dwarka Flyover, Raj Nagar-1, New Delhi. "
"Delhi and NCR","Aryan Hospital Gurugram","Old Railway Road, Gurgaon (Haryana), "
"Delhi and NCR","Sharp Sight Centre"," A-15, Swasthya Vihar, Opp. Preet Vihar, Metro Pillar No. 82, Vikas Marg, New Delhi, Delhi 110092"
"Delhi and NCR","Navin Hospital ","NH-3, Sector-Alpha-II, Pocket-F, Greater Noida"
"Delhi and NCR","Sardana Eye Institute","A2/19, Rajouri Garden, New Delhi. "
"Delhi and NCR","Teerthanker Aadinath Bright Dental Care ","11, 12/1513, Wazir Nagar,Bhishampitah Marg, KotlaMubarkpur, New Delhi-110003. "
"Delhi and NCR","Shanti Gopal Hospital","NH-1, Ahinsa Khand, Indirapuram, Ghaziabad"
"Delhi and NCR","Wpratiksha Hospital","Golf Course Extn. Road, Sushant Lok-II, Sector-56, Gurgaon-122011"
"Delhi and NCR","Human Care Medical Charitable Trust  (Manipal Hospital)","Adjoining MTNL Building, Sec-6, Dwarka, Delhi-110075"
"Delhi and NCR","R.P.S. Memorial Multispeciality Dental Clinic, ","D-660 B, Main 100 Feet Road,Chander Lok Colony, Shahdara,Delhi-110093. Tel. No.9899221971 "
"Delhi and NCR","Dharamshila Cancer  hospital ","Dharamshila Marg Vasundhara Enclave, Delhi Tel. 011 43066666, 43066587."
"Delhi and NCR","Faces N Braces Dental Clinic ","D-85, Lower Ground Floor, NearSaket Metro Station Gate No.3,New Delhi-110017. Tel. No.011-40324151, 9278374151. "
"Delhi and NCR","Jain Dental Centre","F-1/9, Mandir Marg, Near HappyEnglish School, Krishna Nagar,Delhi-110051. Tel. No.9810924515 "
"Delhi and NCR","Manav Hospital(unit of shubham hospital &research centre pvt. ltd","Plot No. 1, B-Block, Kavi Nagar, Next to State Bank of India, Kavi Nagar, Ghaziabad-201002. Tel. No. 0120-4296642."
"Delhi and NCR","Kailash Dental ","D 124, Surajmal Vihar, Delhi, Delhi-110008"
"Delhi and NCR","Medeor hospital","Plot No.P2, Sector-5, IMT, Manesar, Gurugram-122001."
"Delhi and NCR","Mittal Dental Clinic ","3543, Sita Ram Bazar, Opp.Kucha Pati Ram, Near ChawriBazar Metro Station, Delhi-6.Tel. No. 9350288907. "
"Delhi and NCR","Navneesh Dental Clinic ","N.A"
"Delhi and NCR","Muskan Dental Care","11/26, West Patel Nagar, NewDelhi-110008. "
"Delhi and NCR","Surbhi Hospital","Golf Course Road ,Morna,Sector 35, Noida"
"Delhi and NCR","Dr. Chaudhry's Moral Hospital Pvt. Ltd.","C-1/2A &C-1/1A, Yamuna Vihar, Delhi-110053. Tel. No. 011-22914355. "
"Delhi and NCR","Rx Multispeciality Dental Clinic ","2649, Basement, Hudson Line,GTB Nagar, Delhi.Mob. No. 9818791850. "
"Delhi and NCR","Balaji Multi Speciality Dental Centre","Shop No. 47, B-2 Market,Paschim Vihar, New Delhi. Tel.No. 011-25273744, 9311211404"
"Delhi and NCR","Haryana Multispeciality Hospital","Vivekanand Chowk, Behind LG Showroom,Sonipat-131001"
"Delhi and NCR","Saral Advanced Diagnostics Pvt. Ltd","E-1073, Saraswati Vihar, Pitam Vihar, Delhi-34."
"Delhi and NCR","Indian Institute of Ophthalmology(G.K.-II)","C-2,G.K. Enclave-II New Delhi-110048"
"Delhi and NCR","Om Dental Clinic","D 124, Surajmal Vihar, Delhi, Delhi"
"Delhi and NCR","Must & More Super Speciality Diagnostic Centre, ","17/1, Near Bank of Baroda, Main Rohtak Road, Delhi 110041. "
"Delhi and NCR","Shanti Dentals,","A-12, 1st Floor, Prashant Vihar, Rohini, Delhi-110085"
"Delhi and NCR","Sigma Diagnostic & Imaging Centre ","17, Tarun enclave, Pitampura,New Delhi-110034. "
"Delhi and NCR","Purang Eye Centre ","A-114, Vishal Enclave,Rajouri Garden, NewDelhi-110027."
"Delhi and NCR","Netram Eye Centre ","I-1791, C.R. Park, NearIDBI Bank, New Delhi110019. "
"Delhi and NCR","Centre For Sight ","A-3, Najafgarh Road, Opp. Metro Pilar No.62B,Vikaspuri, New Delhi110018. Tel. No. 011-25612976-77-7 "
"Delhi and NCR","Centre For Sight ","B-2/6, Ashok Vihar,Phase-II, 1st & 2nd Floor,Delhi-110052."
"Delhi and NCR","Nav Drishti Eye Center ","B-5/351, Yamuna Vihar,Delhi-110053. "
"Delhi and NCR","Panchsheel Hospital, Pvt. Ltd.","YAMUNA VIHAR DELHI"
"Delhi and NCR","Goyal Eye Institute, East Patel Nagar","1 / 10 East Patel Nagar, New Delhi 110008"
"Delhi and NCR","Dr. Goel's Eye Centre","C-4, Anand Vihar, Delhi -110092. Tel. No. 011-22155678."
"Delhi and NCR","Param Nethralaya ","132, Main Auchandi Road,Bawana, Delhi-110039. "
"Delhi and NCR","Centre For Sight ","Shop No.1, Huda MarketNo.1, Beside HanumanMandir, Sec-16A, Near OldFaridabad Metro Station,Faridabad-121002"
"Delhi and NCR","Eye7 Hospitals Pvt. Ltd. ","A-1/173, Ground Floor(opp. Metro Pillar No. 614),Najafgarh Road,Janakpuri, Delhi-110058"
"Delhi and NCR","Khanna Medicare Centre ","W-6, Main Patel Road, WestPatel Nagar, Near ShadipurMetro Station, Pillar No.234, New Delhi-110008. "
"Delhi and NCR","The Healing Touch, Eye Hospital ","C-2/390, Janakpuri, Delhi 110058. "
"Delhi and NCR","Eye 4 U a Complete Ophthalmic Center","241, DDA SFS Flats, Sector9, Pocket-1, Dwarka, NewDelhi-110045. "
"Delhi and NCR","I Clinix Advanced Eye Care ","27/171, Vikram Vihar, NearMoolchand Metro Station,Lajpat Nagar-IV, NewDelhi-110024"
"Delhi and NCR","Arihant Eye Centre ","Nandani Bhawan, SantNagar, Delhi"
"Delhi and NCR","Noida Medicare Centre Ltd., ","16-C, Block-E, Sector-30,Noida -201301. "
"Delhi and NCR","Shri Ram Singh Multi Speciality Hospital ","Opp. OIDB Bhawan,Sector-70, Noida-201301."
"Delhi and NCR","Sharma Medicare Pvt. Ltd.","NH-19A, L-Block, Delta-2,Greater Noida-201308."
"Delhi and NCR","Dipakshi Nursing & Maternity Home Pvt. Ltd","C-53A, Sector-33, NearNTPC Township, G.B.Nagar, Noida-201301"
"Delhi and NCR","Neo Hospital (A unit of Muskan Medical Centre Pvt. Ltd.) ","D-170A, (Gautam BudhNagar), Sector-50, Noida201301. "
"Delhi and NCR","J.S. Tomar Memorial Hospital Pvt. Ltd.","Opp. Step by Step School,Sector-132, Noida -201301"
"Delhi and NCR","Manas Hospital (A Unit of Sharma Medical Centre Pvt. Ltd.) ","A-93, Sector-34, GautamBudh Nagar, Noida-201301."
"Delhi and NCR","Karuna Sindhu Charitable Hospital","Bakkarwala Marg, Nangloi,Nagafgarh Road, NewDelhi-110041. "
"Delhi and NCR","Kumar Hospital ","NH-10, G-Block, SectorBeta-II, Greater Noida"
"Delhi and NCR","New Balaji Hospital","Plot -734, Haldauni More,Main Dadri Road, GreaterNoida-201306"
"Delhi and NCR","Anand Hospital & Chhidda Singh Yadav Trauma Centre ","Lal Kuan, G.T. Road, NearReliance Petrol Pump,Ghaziabad-201001."
"Delhi and NCR","Vasundhara Hospital ","Sector-15/NH-I, Near AtalChowk, Vasundhara,Ghaziabad."
"Delhi and NCR","Pannalal Shyamlal Hospital","II-F/172, Nehru Nagar,Ambedkar Road,Ghaziabad-201001. "
"Delhi and NCR","Paras Hospital ","H-130, Sector-4, Vaishali,Ghaziabad-201012"
"Delhi and NCR","Umkal Hospital, ","A-520, Sushant Lok-I,Gurgaon-122022. "
"Delhi and NCR","Neelkanth Hospital","DLF Phase-III, Nathupur Road,Gurgaon-122002"
"Delhi and NCR","Metro Hospital & Heart Institute(Lajpat Nagar)","14, Ring Road, Lajpat Nagar, New Delhi"
"Delhi and NCR","Pawan Hospital ","Samaypur Road,Near Sector-56,Faridabad -121004. "
"Delhi and NCR","Medicheck Ortho Super Speciality Hospital ","Site No.2, Sector-46,Faridabad-121010."
"Delhi and NCR","Santosh MultiSpeciality Hospital","3F/139, Near PolicePost-3, NITFaridabad-121001"
"Delhi and NCR","Mata Roop Rani Maggo & Mahindru Hospital ","C-8/9, OM Vihar,Phase-I, Metro Pillar,No.709, Uttam Nagar,New Delhi-110059"
"Delhi and NCR","Surya Hospital ","383/11-C, East AzadNagar, Krishna Nagar,Delhi-110051."
"Delhi and NCR","Konarc Hospital ","9A/1, Naresh Park,Near Water Tank, MainNagafgarh Road,Nangloi, Delhi-110041."
"Delhi and NCR","K.K. Surgical & Maternity Centre ","B-37, East Jyoti Nagar,Loni Road, New Delhi-110093"
"Delhi and NCR","Saroj Medical Institute","Plot No. 8 & 9, Pocket8B, Jail Road, Sector19, Rohini, Delhi110089. "
"Delhi and NCR","Bhagwan Mahavir Hospital","Sector-14, ExtensionNear MadhubanChowk, Rohini, Delhi110085"
"Delhi and NCR","Aakash Healthcare Super Speciality Hospital ","Road No. 201, Sector-03,Dwarka, New Delhi110075. "
"Delhi and NCR","Ishan Hospita","Plot No. No.1, Pocket8B, Sector-19, Rohini,Delhi-110089."
"Delhi and NCR","Pushpawati Singhania Hospital & Research Institute ","Press Enclave Marg,Sheikh Sarai Phase-II,New Delhi. "
"Delhi and NCR","Gupta Multispeciality Hospital ","Dhandhu Ram Market,Bawana, Delhi-110039"
"Delhi and NCR","Drishti Eye Centre(Faridabad)","20-21,Fruit Garden, near green auto mobile,NIT Faridabad-241001"
"Delhi and NCR","Ahooja Eye & Dental Institute, Gurgaon","560 / 1 Dayanand Colony, Near Railway Road, Gurgaon 122 001"
"Delhi and NCR","Maharaja Agrasen Hospital ","Plot No.1, Sector-1,Dwarka, New Delhi110075. "
"Delhi and NCR","Wisdom Dental Maxillofacial and Implant Clinic","F-46-47, Manish Global Mall, opp. Mount Carmel School, Sec-22, Dwarka, Delhi-110077. "
"Delhi and NCR","Bhagwas Das Hospital","Block-E, Sector-18, Omaxe City, Sonipat, Haryana-131001"
"Delhi and NCR","Kukreja Hospital ","D-36, Acharya Niketan,Mayur Vihar, Phase-I,New Delhi-110091"
"Delhi and NCR","Jaipur Golden Hospital","02, Institutional Area,Sector-3, Rohini, Delhi110085. "
"Delhi and NCR","Kalra Hospital, Dwarka ","3A, 26-27, Sewak ParkExtension, Opp. MetroPillar No. 761, DwarkaMor, Uttam Nagar,Delhi-110059. "
"Delhi and NCR","Gandhi Hospital ","C-50 &51, OM Vihar,Uttam Nagar, NewDelhi-110059. "
"Delhi and NCR","Procare Dental Clinic & Implant Centre","Shop No.2, Skytech Magadh Apartment, Sector-3, Vaishali, Ghaziabad-201010."
"Delhi and NCR","Centre For Sight","F-14, Preet Vihar, MainVikas Marg, New Delhi. "
"Delhi and NCR","Retina Point ","Q-53, Ground Floor,Rajouri Garden, NewDelhi-110027. "
"Delhi and NCR","Venkateshwar Hospital ","Sector-18A, Dwarka,New Delhi-110075."
"Delhi and NCR","Kosmos Super Speciality Hospital","C-60, Anand Vihar(Vikas Marg), Delhi."
"Delhi and NCR","Indus Valley Hospital ","232, KH. No.19/1 (1-12),135, Laxmi Garden,Tehsil Road, Nagafgarh,New Delhi-110043."
"Delhi and NCR","Cygnus MLS Super Speciality Hospital ","Plot No. 4, MainKanjhawala Road, NearBalaji Mandir, RamaVihar, New Delhi."
"Delhi and NCR","World Brain Cencer Hospital ","Plot No.24, KH.No.15/4/1/4/2, SyndicateEnclave, Raghu Nagar,Dabri More, New Delhi110045."
"Delhi and NCR","Ayushman Hospital & Health Services","Sector-10, Dwarka, NewDelhi-110075. "
"Delhi and NCR","Savitri Hospital","142/91, Extended LalDora, (Near PetrolPump), KaralaKanjhwala Road, Delhi. "
"Delhi and NCR","Sonia Hospital ","1, Gulshan Park, Main Rohtak Road, Nangloi,Delhi. "
"Delhi and NCR","Universal Centre of Health Science ","Bypass Road, MolarbandExtension, Badarpur,New Delhi-110044."
"Delhi and NCR","Rosewood Hospital ","5, JL Block, RoshanGarden, Najafgarh, NewDelhi-110043"
"Delhi and NCR","East Delhi Medical Centre","1/550, G.T. Road,Mansarovar Park,Shahdara, Delhi-110032."
"Delhi and NCR","Delhi Heart Hospital","176, Jagriti Enclave,Bhartendu HarishChandra Marg, NearKarkardooma MetroStation, Delhi-110092."
"Delhi and NCR","Pushpanjali Medical Centre ","A-14 & 15 Pushpanjali,Vikas Marg Extn. Delhi -110092."
"Delhi and NCR","Satyabhama Hospital Pvt. Ltd. ","RZ-10, Naresh Park,Nagafgarh Road,Nangloi, Delhi, 110041"
"Delhi and NCR","Smirk Dental & Implant Centre","F-13, Vijay Chowk, Laxmi Nagar, Delhi-110092"
"Delhi and NCR","Bhatia Global Hospital & Endosurgery Institute","305, 307-308, AmbicaVihar Opp. CentralSchool, Paschim Vihar,New Delhi-110087. "
"Delhi and NCR","Rescue Hospital ","S-5, Vishwas Park,Behind Sector-3, PetrolPump, Dwarka, Delhi 110059. "
"Delhi and NCR","Dr. Gopal Goel's Dental Clinic & Implant Centre","28, 1st Floor, Krishna Market, Jhilmil Colony, Opp. A-Block, Vivek Vihar-II, Delhi-110095."
"Delhi and NCR","Dr. Arvind'sDental Clinic","270/54 H Block E III Behind Universal hospital Bye Pass Road, Molar Band Ext. Badarpur, Delhi-110044"
"Delhi and NCR","Dr. Priyadarshini's Smile Care","117, Satya Niketan, Moti Bagh, New Delhi-110021. "
"Delhi and NCR","Vaishnavi Multi-Speciality Dental and Implant Clinic","609, First Floor, Sector-5, Vaishali, Ghaziabad-201010. "
"Delhi and NCR","Sharma Dental"," RZ- 156/A Dada Chatri Bala Marg Gali No.09, Palam Colony, Nazafgarh, Delhi-110045"
"Delhi and NCR","Dr. Lal Multi-Speciality Dental & Implant Clinic","1/2299, Mandoli Road, Near Ravidas Gate, Ram Nagar, Shahdara, Delhi-110032. "
"Delhi and NCR","I Create Hospital ","A-3/24, 3rd Floor,Janakpuri, New Delhi 110058. "
"Delhi and NCR","Centre For Sight ","Plot No. 9, Sector-9,Dwarka, New Delhi 110077. "
"Delhi and NCR","Dentem(GT Denta care(P)Ltd.","F-3/11, Vasant Vihar,Souuth west.Delhi-110057"
"Delhi and NCR","Dr, Aggarwal's Multi Speciality Delhi Dental Clinic and implant Centre","SHOP NO. 32,GANDHI MARKET, MINTO ROAD, NEW DELHI-110002"
"Delhi and NCR","Institute of Brain&Spine","73, Ring Road, Lajpat Nagar-3, New Delhi-110024. Tel. No. 011-43210000."
"Delhi and NCR","Kailash Hospital Ltd.(Greater Noida)","23 Institutional Area, Greater NOIDA 201 308"
"Delhi and NCR","Narinder Mohan Hospital & Heart Centre","Mohan Nagar, Ghaziabad- 201 0070120-2657501"
"Delhi and NCR","Lall Eye Care Centre","New Railway Road, Gurgaon"
"Delhi and NCR","Navneesh Dental Clinic","Unit No: 2, Begum Zaidi Market, Moti Bagh-I, New Delhi 110021"
"Delhi and NCR","Dr. Kapur s the Healing Touch Eye Centre","D  8 Vikaspuri, New Delhi 110 018"
"Delhi and NCR","Khanna Eye Centre","E 368 Nirman Vihar, Vikas Marg, Delhi 110 092"
"Delhi and NCR","Shyama Super Speciality Eye Hospital,","B-139 A, West Vinod Nagar, Narwana Road, I.P. Extension, opp. Press Apartment, Delhi-110092"
"Delhi and NCR","cygnus Orthocare Hospital","C-5/29, Opp. IIT Main Gate, Safdarjung Development Area, New Delhi"
"Delhi and NCR","Satya Medical Centre","A 98/A, Sector 34, NOIDA"
"Delhi and NCR","Mohan Eye Institute","11 B, Ganga Ram Hospital Marg, Rajinder Nagar, New Delhi 110060"
